LAT,LONG,SP_GROUP,AGE,P0,BA,D,H,N,YEAR,FOREST_TYPE,VOLUME
61.9,23.7,1,31,1100.73,22.01013596,13.44091156,9.94663467,1551.227149,2010,3,115.5474426
61.9,25,1,28,1104.42,9.126280414,11.66380933,8.783564575,854.1282855,2010,4,43.40439635
61.9,25.3,2,51,1124.155,41.06734046,21.84764794,16.63133075,1095.462006,2010,2,325.6794724
61.9,26.1,2,14,1117.59,2.769609176,26.12816423,10.66756484,51.6548154,2010,2,12.66987937
61.9,26.4,1,34,1120.3025,31.78066514,20.25192832,14.41154087,986.5982438,2010,2,226.3210596
61.9,29.6,4,42,1160.8275,17.59141838,10.89915363,9.753103136,1885.495184,2010,2,82.39980095
61.9,24.4,1,25,1102.0575,8.636999649,10.51444699,8.066111644,994.7183943,2010,4,38.45085959
61.9,28.7,4,25,1180.145,17.27436634,9.988830763,9.161172472,2204.362093,2010,1,76.76948829
61.9,28.5,1,72,1151.4675,16.14355569,19.57213906,13.95939872,536.5778355,2010,4,111.9416865
61.9,27.1,2,27,1117.305,21.30039414,12.40545637,10.10607122,1762.269266,2010,2,110.2064535
61.9,27.3,2,61,1114.985,44.03635649,22.09395216,16.81472783,1148.615516,2010,3,352.6155765
61.9,27.6,4,21,1110.6325,19.20946065,9.514670206,8.85781124,2701.704281,2010,2,83.02392306
61.9,22.1,1,70,1179.93,21.72954182,17.22422648,12.40305513,932.5695549,2010,4,136.5756188
62,22.6,1,64,1121.58,18.73456694,7.667139368,6.377947625,4057.766589,2010,4,70.11204884
62,22.6,4,70,1121.58,36.45267759,18.29042143,14.69193939,1387.369455,2010,3,244.2972016
62,23.2,1,32,1095.475,14.29493985,16.16072239,11.68592619,696.9007161,2010,4,85.53764169
62,23.5,1,35,1087.3875,6.404491935,16.66050598,11.97999976,293.7774305,2010,2,39.10976193
62,29.8,1,108,1142.345,50.09532206,30.47291518,21.71631579,686.8774928,2010,3,504.547591
62,23.7,1,44,1093.1275,15.46552037,20.12365963,14.31204936,486.2512491,2010,3,109.4931069
62,25.3,1,34,1119.3325,20.110597,12.49362012,9.339649297,1640.432966,2010,4,100.3994778
62,25.3,2,21,1119.3325,20.1158515,14.07907753,11.24352833,1292.111936,2010,3,113.8465413
62,26.3,1,24,1105.8775,18.33978703,8.212169735,6.688098233,3462.490356,2010,4,71.0035118
62,29.4,4,23,1141.72,30.09942774,10.34991235,9.391319636,3577.626624,2010,2,136.5636242
62,24.4,2,80,1102.6625,46.50195531,24.97638023,18.95526316,949.1226522,2010,3,413.5700061
62,29.2,1,46,1152.6925,35.68790263,22.31264824,15.81523933,912.7017985,2010,3,274.7750955
62,29.2,1,83,1152.6925,21.97340016,26.35089249,18.58471001,402.9180516,2010,4,193.8420659
62,27.6,2,73,1105.2075,36.28963103,22.5355295,17.12032664,909.8234742,2010,1,295.1150231
62,28.3,1,87,1142.7075,46.69550398,29.48942879,21.00084211,683.6793538,2010,3,457.1469958
62,28.7,1,41,1172.3875,38.02384154,23.5618026,16.69244444,872.065456,2010,3,306.4055314
62,29,2,61,1145.7925,37.51599107,26.85344655,20.24883496,662.4093815,2010,3,352.7626143
62,21.8,2,86,1224.0425,17.22073781,23.75548459,17.9590115,388.5385231,2010,4,145.8847344
62,26.9,1,45,1113.55,28.68031681,10.76623436,8.271881423,3150.405115,2010,4,130.2013525
62,27.6,2,56,1105.2075,38.92223423,21.36377811,16.29328144,1085.804815,2010,3,303.2425317
62,22.1,1,90,1160.305,24.49466343,21.09103594,14.97090138,701.1093703,2010,4,180.0869461
62,26.9,1,23,1113.55,4.157313263,13.24336261,9.780375379,301.8049291,2010,3,21.52897833
62.1,22.3,1,119,1121.89,17.00690432,21.63351666,15.27571331,462.6804422,2010,4,127.1393892
62.1,23.2,1,27,1085.305,21.08571245,7.058674067,6.027802982,5388.304626,2010,3,75.85656206
62.1,23.2,1,73,1085.305,32.07280274,13.96099745,10.30412319,2095.145249,2010,4,173.2430632
62.1,23.2,1,29,1085.305,1.576827544,7.157592256,6.056078946,391.8865943,2010,5,5.690695326
62.1,30.4,2,27,1128.6525,23.98710892,15.18298379,11.99625614,1324.871534,2010,3,143.4555668
62.1,30.4,4,19,1128.6525,15.67300475,7.75287441,7.731588162,3319.990845,2010,2,60.74221047
