"","X","LAT","LONG","SP_GROUP","AGE","P0","BA","D","H","YEAR","FOREST_TYPE","TOTAL_VOLUME"
"784",784,64.9,27.1,1,71,966.485,14.07562602,14.65348869,10.72642546,2010,4,78.53744081
"786",786,64.9,27.5,1,71,927.095,13.46309548,11.1299343,8.483525942,2010,4,62.3241236
"789",789,64.9,26.6,4,90,995.8125,21.7658712,15.90899969,13.08099649,2010,3,131.6233664
"792",792,65,24.8,1,38,1146.48,21.00480531,19.56354427,13.93253007,2010,2,145.4044823
"810",810,65.2,26.9,1,93,962.01,11.42764022,11.36430733,8.629436911,2010,5,53.60849855
"829",829,65.4,28.4,1,37,848.5875,24.83130724,12.6096583,9.430319417,2010,3,124.9290241
"831",831,65.4,28.7,1,41,836.585,25.7685672,15.15171633,11.06640397,2010,3,147.4883486
"835",835,65.4,28.7,1,64,836.585,17.4481341,9.251957596,7.337720123,2010,4,72.31611152
"840",840,65.5,27.8,4,30,899.805,11.6696913,8.132326472,7.985613754,2010,3,46.38952306
"841",841,65.5,28.4,1,23,855.7725,10.45616735,5.808490909,5.3290433,2010,3,34.64530285
"850",850,65.7,27.2,1,132,910.9175,29.6630517,21.82426424,15.45355702,2010,4,223.962127
"853",853,65.7,26.9,2,156,917.1825,14.69289842,19.12922935,14.58737791,2010,3,103.7379398
"863",863,65.8,25.5,1,49,976.3325,17.62986312,18.87357479,13.48615127,2010,3,118.7779117
"865",865,65.8,25.5,1,45,976.3325,5.236317798,10.96555111,8.343248025,2010,4,23.92597932
"871",871,65.9,27.5,1,69,857.56,10.3043412,13.0809031,9.725536381,2010,5,53.13127709
"884",884,66.1,26.4,1,104,892.245,13.96183447,15.98061725,11.54137595,2010,3,82.68719399
"886",886,66.1,28.2,1,111,811.2875,13.09327658,15.03363435,10.94573796,2010,4,74.26186024
"890",890,66.3,23.7,1,150,961.3525,13,17.35833333,11.6130752,2010,4,77.14687293
"893",893,66.3,25.1,2,192,944.305,21.37087282,20.99295441,15.89345215,2010,3,162.5470647
"897",897,66.3,29.1,1,37,794.1975,22.76538972,12.75997902,9.526854247,2010,4,115.4675643
"920",920,66.8,25.9,1,166,878.8375,17,23.53529412,16.35278082,2010,3,134.4700855
"925",925,67,25.9,1,105,835.94,20.55777269,17.41964827,12.51239533,2010,4,130.1428223
"928",928,67,28.2,1,53,782.7375,10.98377041,17.71178892,12.71348674,2010,4,70.46006174
"929",929,67,26.4,2,78,823.1025,10.79027404,12.68798596,10.31172314,2010,4,56.79286899
"932",932,67.2,25,1,62,855.8,8.180087734,18.83661007,13.45413539,2010,3,55.00128098
"939",939,67.2,26.8,1,24,812.115,6.966382912,10.64301523,8.165830889,2010,3,31.30964135
"945",945,67.4,29.2,2,221,707.9425,11,19.41818182,13.06228325,2010,3,68.29541575
"949",949,67.4,25.9,1,71,812.365,13.03378834,10.10999973,7.859142069,2010,4,56.89049757
"950",950,67.4,25.9,4,74,812.365,9.324969884,7.953692058,7.879425334,2010,4,36.68028647
"966",966,67.7,27.8,1,188,744.67,18,17.84,11.91967824,2010,3,109.1248553
"967",967,67.7,28.7,1,96,752.025,11.38659933,13.97936388,10.26603755,2010,4,61.31112419
"975",975,67.9,25.9,2,221,758.1775,15,33.075,19.01634786,2010,3,121.9794465
"988",988,68.1,26.3,1,44,760.255,10.3969276,16.50381626,11.91938533,2010,3,63.23514271
"989",989,68.1,26.4,1,72,832.0325,15.62998381,16.7397417,12.0878279,2010,3,96.17342925
"993",993,68.3,25.9,2,256,746.775,16,28.72857143,14.3711629,2010,3,98.81150582
